Time,volts,current,watts,amp_hour,watt_hour
1518592679.8924646,3.979,30.001,119.373,0,0
1518592684.1486177,3.966,30.001,118.983,0,0
1518592688.4056885,3.958,30.0,118.74,0,0
1518592692.661292,3.951,30.001,118.533,0,0
1518592696.9176521,3.945,30.001,118.353,0,0
1518592701.1738536,3.94,30.0,118.2,0,0
1518592705.4253,3.935,30.001,118.053,0,0
1518592709.6814132,3.932,30.0,117.96,0,0
1518592713.9334862,3.928,30.001,117.843,0,0
1518592718.1884427,3.924,30.001,117.723,0,0
1518592722.4437761,3.921,30.001,117.633,0,0
1518592726.69689,3.918,30.0,117.54,0,0
1518592730.9520972,3.916,30.001,117.483,0,0
1518592735.2072942,3.913,30.001,117.393,0,0
1518592739.4636211,3.91,30.0,117.3,0,0
1518592743.7154918,3.908,30.001,117.243,0,0
1518592747.967575,3.906,30.001,117.183,0,0
1518592752.2236865,3.904,30.001,117.123,0,0
1518592756.4800553,3.902,30.001,117.063,0,0
1518592760.7362983,3.9,30.001,117.003,0,0
1518592764.9922554,3.899,30.001,116.973,0,0
1518592769.2483752,3.897,30.001,116.913,0,0
1518592773.504656,3.895,30.001,116.853,0,0
1518592777.758666,3.893,30.001,116.793,0,0
1518592782.010268,3.892,30.001,116.763,0,0
1518592786.2664366,3.89,30.001,116.703,0,0
1518592790.5233483,3.889,30.001,116.673,0,0
1518592794.7786283,3.887,30.001,116.613,0,0
1518592799.0344524,3.886,30.001,116.583,0,0
1518592803.290403,3.884,30.001,116.523,0,0
1518592807.5438042,3.883,30.001,116.493,0,0
1518592811.797255,3.882,30.001,116.463,0,0
1518592816.0500786,3.88,30.001,116.403,0,0
1518592820.3068063,3.879,30.001,116.373,0,0
1518592824.5631967,3.878,30.001,116.343,0,0
1518592828.8191342,3.876,30.001,116.283,0,0
1518592833.0729015,3.875,30.001,116.253,0,0
1518592837.3292947,3.874,30.001,116.223,0,0
1518592841.5848134,3.873,30.001,116.193,0,0
1518592845.8414311,3.871,30.001,116.133,0,0
