Time,volts,current,watts,amp_hour,watt_hour
1518673964.7334168,4.019,30.0,120.57,0.010444255669911702,0
1518673966.2375035,4.014,30.0,120.42,0.022978325684865315,0
1518673971.4935324,4.002,30.0,120.06,0.06677856047948201,0
1518673976.7476637,3.993,30.001,119.793,0.1105644476032257,0
1518673982.0038555,3.986,30.0,119.58,0.15436604734420775,0
1518673987.2608862,3.98,30.0,119.4,0.19817463473637897,0
1518673992.5184438,3.975,30.0,119.25,0.24198761300404864,0
1518673997.7750053,3.97,30.001,119.103,0.28579375446120897,0
1518674003.031203,3.966,30.001,118.983,0.329596861940821,0
1518674008.2874355,3.962,30.001,118.863,0.3734002595060401,0
1518674013.5445263,3.958,30.0,118.74,0.4172093495640489,0
1518674018.7979395,3.955,30.001,118.653,0.46098925019509257,0
1518674024.055313,3.952,30.001,118.563,0.5048021570049391,0
1518674029.311837,3.949,30.001,118.473,0.5486079845338397,0
1518674034.5690236,3.946,30.001,118.383,0.5924193415712647,0
1518674039.8260014,3.944,30.0,118.32,0.6362274878890646,0
1518674045.0813513,3.941,30.001,118.233,0.6800235319828324,0
1518674050.3335197,3.939,30.001,118.173,0.7237930531124273,0
1518674055.5900111,3.937,30.001,118.113,0.7675986084377102,0
1518674060.8471515,3.935,30.001,118.053,0.8114095720713668,0
1518674066.100643,3.933,30.001,117.993,0.8551901263884703,0
1518674071.3576167,3.931,30.001,117.933,0.8989996972138351,0
1518674076.6135485,3.929,30.001,117.873,0.9428005932874148,0
1518674081.8684733,3.927,30.001,117.813,0.9865930907866026,0
1518674087.1254613,3.925,30.001,117.753,1.030402784799006,0
1518674092.3824112,3.923,30.001,117.693,1.0742121648831497,0
1518674097.6389992,3.921,30.001,117.633,1.1180185229110715,0
1518674102.896306,3.919,30.001,117.573,1.1618308733923566,0
1518674108.1527798,3.918,30.001,117.543,1.2056362797010605,0
1518674113.4105437,3.916,30.001,117.483,1.2494524410329921,0
1518674118.6679711,3.914,30.001,117.423,1.2932657948925756,0
1518674123.9249263,3.912,30.001,117.363,1.3370752167013615,0
1518674129.182035,3.911,30.001,117.333,1.3808859240265021,0
1518674134.436973,3.909,30.001,117.273,1.4246785248438514,0
1518674139.693521,3.907,30.001,117.213,1.4684845609959625,0
1518674144.9512079,3.906,30.001,117.183,1.512300078576273,0
1518674150.2075527,3.904,30.001,117.123,1.55610420135551,0
1518674155.4606268,3.902,30.001,117.063,1.5998814792947633,0
